actor_slug,type,title,url,captured_at,note
nms-gjenbruk-arendal-arendal,website,Offisiell nettside,https://www.nmsgjenbruk.no/butikkene-vare/arendal-fc1f9,2026-04-15,
nms-gjenbruk-arendal-arendal,map,Google Maps,https://maps.google.com/?cid=6763385523698587961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
kirkens-bymisjon-bazar-bruktbutikk-arendal,website,Offisiell nettside,https://kirkensbymisjon.no/bazar-toy-og-som/,2026-04-15,
kirkens-bymisjon-bazar-bruktbutikk-arendal,map,Google Maps,https://maps.google.com/?cid=14633137247112189901&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
gjenbruksglede-arendal,website,Offisiell nettside,https://www.facebook.com/gjenbruksglede/,2026-04-15,
gjenbruksglede-arendal,map,Google Maps,https://maps.google.com/?cid=15622985663747887634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
boks-for-oppsamling-av-klaer-uff-arendal,website,Offisiell nettside,http://www.uffnorge.org/,2026-04-15,
boks-for-oppsamling-av-klaer-uff-arendal,map,Google Maps,https://maps.google.com/?cid=5285956394331367205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
tore-a-nilsen-arendal-auksjonsforretning-arendal,map,Google Maps,https://maps.google.com/?cid=12971747278558891578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
nms-gjenbruk-grimstad-grimstad,website,Offisiell nettside,https://www.nmsgjenbruk.no/butikkene-vare/grimstad-464d7,2026-04-15,
nms-gjenbruk-grimstad-grimstad,map,Google Maps,https://maps.google.com/?cid=7747656724295393613&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
instituttets-bruktbutikk-grimstad,website,Offisiell nettside,https://www.facebook.com/bruktbutikkenigrimstad/,2026-04-15,
instituttets-bruktbutikk-grimstad,map,Google Maps,https://maps.google.com/?cid=2095454387818344691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
fokus-gjenbruk-as-grimstad,website,Offisiell nettside,https://fokusgjenbruk.no/,2026-04-15,
fokus-gjenbruk-as-grimstad,map,Google Maps,https://maps.google.com/?cid=4317894982879973321&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
gjenbruksgleder-grimstad,website,Offisiell nettside,https://fokusgjenbruk.no/,2026-04-15,
gjenbruksgleder-grimstad,map,Google Maps,https://maps.google.com/?cid=4446684496842626946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
avigo-sirkulaer-grimstad,map,Google Maps,https://maps.google.com/?cid=3993211780036160061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
guldsmedkleiva-brukt-antikk-grimstad,website,Offisiell nettside,https://www.facebook.com/share/17jcXh28tF/,2026-04-15,
guldsmedkleiva-brukt-antikk-grimstad,map,Google Maps,https://maps.google.com/?cid=10284064644126091320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
nms-gjenbruk-risor-risor,website,Offisiell nettside,https://www.nmsgjenbruk.no/butikkene-vare/risor-f6e2b,2026-04-15,
nms-gjenbruk-risor-risor,map,Google Maps,https://maps.google.com/?cid=12594000281616837796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
fretex-bruktbutikk-risor,website,Offisiell nettside,https://www.fretex.no/handle/finn-butikk/fretex-risor/,2026-04-15,
fretex-bruktbutikk-risor,map,Google Maps,https://maps.google.com/?cid=12897627919663231157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
nms-gjenbruk-evje-evje,website,Offisiell nettside,http://www.nmsgjenbruk.no/butikkene-vare/evje-dc379,2026-04-15,
nms-gjenbruk-evje-evje,map,Google Maps,https://maps.google.com/?cid=14091932358228673014&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
sjappa-bruktutsalg-evje,map,Google Maps,https://maps.google.com/?cid=8955563129967009093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
unik-gaver-gjenbruk-evje,website,Offisiell nettside,https://www.facebook.com/UnikEvje,2026-04-15,
unik-gaver-gjenbruk-evje,map,Google Maps,https://maps.google.com/?cid=263983539818307290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
brukt-elsket-vennesla,map,Google Maps,https://maps.google.com/?cid=11587632471308095491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
kontakten-bruktbutikk-vennesla,map,Google Maps,https://maps.google.com/?cid=12303366211715708819&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
setesdal-husflid-valle,website,Offisiell nettside,http://www.setesdalhusflid.no/,2026-04-15,
setesdal-husflid-valle,map,Google Maps,https://maps.google.com/?cid=16161160340813991037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
vennesla-gjenbruk-vennesla,map,Google Maps,https://maps.google.com/?cid=2405490990066175860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
