actor_slug,name,category,description,long_description,address,postal_code,county,county_slug,municipality,municipality_slug,city,area,lat,lng,phone,email,website,instagram,opening_hours,opening_hours_osm,tags,benefits,how_to_use,image,nationwide,service_area_county_slugs,service_area_municipality_slugs
nms-gjenbruk-arendal-arendal,NMS Gjenbruk Arendal,brukt,Bruktbutikk med varer som får nytt liv.,NMS Gjenbruk Arendal i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Stoaveien 3,4848,Agder,agder,Arendal,arendal,Arendal,,58.4599386,8.7121096,40033608,,https://www.nmsgjenbruk.no/butikkene-vare/arendal-fc1f9,,mandag: Stengt|tirsdag: 11:00-16:00|onsdag: 11:00-16:00|torsdag: 11:00-16:00|fredag: 11:00-16:00|lørdag: 11:00-15:00|søndag: Stengt,Mo off; Tu 11:00-16:00; We 11:00-16:00; Th 11:00-16:00; Fr 11:00-16:00; Sa 11:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
kirkens-bymisjon-bazar-bruktbutikk-arendal,"Kirkens Bymisjon, Bazar Bruktbutikk",brukt,Bruktbutikk med varer som får nytt liv.,"Kirkens Bymisjon, Bazar Bruktbutikk i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.",Torvet 3,4836,Agder,agder,Arendal,arendal,Arendal,,58.46160760000001,8.765758,47484635,,https://kirkensbymisjon.no/bazar-toy-og-som/,,mandag: Stengt|tirsdag: 10:00-15:00|onsdag: 10:00-15:00|torsdag: 10:00-15:00|fredag: 10:00-15:00|lørdag: Stengt|søndag: Stengt,Mo off; Tu 10:00-15:00; We 10:00-15:00; Th 10:00-15:00; Fr 10:00-15:00; Sa off; Su off,clothing store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
gjenbruksglede-arendal,Gjenbruksglede,brukt,Bruktbutikk med varer som får nytt liv.,Gjenbruksglede i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Vestre gate 17,4836,Agder,agder,Arendal,arendal,Arendal,,58.46197669999999,8.7628833,99347637,,https://www.facebook.com/gjenbruksglede/,,mandag: 10:00-15:45|tirsdag: 10:00-15:45|onsdag: 10:00-15:45|torsdag: 10:00-15:45|fredag: 10:00-15:45|lørdag: Stengt|søndag: Stengt,Mo 10:00-15:45; Tu 10:00-15:45; We 10:00-15:45; Th 10:00-15:45; Fr 10:00-15:45; Sa off; Su off,thrift store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
boks-for-oppsamling-av-klaer-uff-arendal,Boks for oppsamling av klær - UFF,brukt,Bruktbutikk med varer som får nytt liv.,Boks for oppsamling av klær - UFF i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,4844 Arendal,4844,Agder,agder,Arendal,arendal,Arendal,,58.4733035,8.777171599999999,,,http://www.uffnorge.org/,,mandag: Døgnåpent|tirsdag: Døgnåpent|onsdag: Døgnåpent|torsdag: Døgnåpent|fredag: Døgnåpent|lørdag: Døgnåpent|søndag: Døgnåpent,,clothing store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
tore-a-nilsen-arendal-auksjonsforretning-arendal,Tore A Nilsen Arendal Auksjonsforretning,brukt,Bruktbutikk med varer som får nytt liv.,Tore A Nilsen Arendal Auksjonsforretning i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Langbryggen 17,4841,Agder,agder,Arendal,arendal,Arendal,,58.459173500000006,8.7696726,37023032,,,,mandag: 00:00-01:00|tirsdag: 00:00-01:00|onsdag: 00:00-01:00|torsdag: 00:00-01:00|fredag: 00:00-01:00|lørdag: 00:00-01:00|søndag: 00:00-01:00,Mo 00:00-01:00; Tu 00:00-01:00; We 00:00-01:00; Th 00:00-01:00; Fr 00:00-01:00; Sa 00:00-01:00; Su 00:00-01:00,home goods store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
nms-gjenbruk-grimstad-grimstad,NMS Gjenbruk Grimstad,brukt,Bruktbutikk med varer som får nytt liv.,NMS Gjenbruk Grimstad i Grimstad bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Skolegaten 8,4876,Agder,agder,Grimstad,grimstad,Grimstad,,58.3420601,8.5932146,40433448,,https://www.nmsgjenbruk.no/butikkene-vare/grimstad-464d7,,mandag: Stengt|tirsdag: 11:00-16:00|onsdag: 11:00-16:00|torsdag: 11:00-16:00|fredag: 11:00-16:00|lørdag: 11:00-15:00|søndag: Stengt,Mo off; Tu 11:00-16:00; We 11:00-16:00; Th 11:00-16:00; Fr 11:00-16:00; Sa 11:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
instituttets-bruktbutikk-grimstad,Instituttets Bruktbutikk,brukt,Bruktbutikk med varer som får nytt liv.,Instituttets Bruktbutikk i Grimstad bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Frivoldveien 11,4877,Agder,agder,Grimstad,grimstad,Grimstad,,58.34586329999999,8.5827674,,,https://www.facebook.com/bruktbutikkenigrimstad/,,mandag: 11:00-16:00|tirsdag: 11:00-16:00|onsdag: 11:00-16:00|torsdag: 11:00-16:00|fredag: 11:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 11:00-16:00; Tu 11:00-16:00; We 11:00-16:00; Th 11:00-16:00; Fr 11:00-16:00; Sa off; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
fokus-gjenbruk-as-grimstad,Fokus Gjenbruk AS,brukt,Bruktbutikk med varer som får nytt liv.,Fokus Gjenbruk AS i Grimstad bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Storgaten 90,4877,Agder,agder,Grimstad,grimstad,Grimstad,,58.346044500000005,8.580669000000002,40053652,,https://fokusgjenbruk.no/,,mandag: 11:00-17:00|tirsdag: 11:00-17:00|onsdag: 11:00-17:00|torsdag: 11:00-17:00|fredag: 11:00-17:00|lørdag: 11:00-15:00|søndag: Stengt,Mo 11:00-17:00; Tu 11:00-17:00; We 11:00-17:00; Th 11:00-17:00; Fr 11:00-17:00; Sa 11:00-15:00; Su off,home goods store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
gjenbruksgleder-grimstad,Gjenbruksgleder,brukt,Bruktbutikk med varer som får nytt liv.,Gjenbruksgleder i Grimstad bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Storgaten 90,4877,Agder,agder,Grimstad,grimstad,Grimstad,,58.346044500000005,8.580669000000002,40852753,,https://fokusgjenbruk.no/,,mandag: 11:00-17:00|tirsdag: 11:00-17:00|onsdag: 11:00-17:00|torsdag: 11:00-17:00|fredag: 11:00-17:00|lørdag: 11:00-15:00|søndag: Stengt,Mo 11:00-17:00; Tu 11:00-17:00; We 11:00-17:00; Th 11:00-17:00; Fr 11:00-17:00; Sa 11:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
avigo-sirkulaer-grimstad,Avigo Sirkulær,brukt,Bruktbutikk med varer som får nytt liv.,Avigo Sirkulær i Grimstad bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Bergemoveien 13,4886,Agder,agder,Grimstad,grimstad,Grimstad,,58.33902690000001,8.555212,40696999,,,,mandag: 10:00-16:00|tirsdag: 10:00-16:00|onsdag: 10:00-16:00|torsdag: 10:00-18:00|fredag: 10:00-16:00|lørdag: 10:00-16:00|søndag: Stengt,Mo 10:00-16:00; Tu 10:00-16:00; We 10:00-16:00; Th 10:00-18:00; Fr 10:00-16:00; Sa 10:00-16:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
